month,trades,wr,pnl,pf
2025-01,19,42.10526315789473,4.799553682964897,1.1790527640874886
2025-02,18,16.666666666666664,-23.93874669257442,0.37814922318845007
2025-03,23,30.434782608695656,-10.09864482465906,0.722000772847718
2025-04,14,42.857142857142854,5.286669387029881,1.2376201399625797
2025-05,13,46.15384615384615,9.107519256499724,1.6876184100319647
2025-06,11,36.36363636363637,-2.417772896936855,0.8509153245641935
2025-07,6,50.0,6.637054057682208,2.2883433527411547
2025-08,12,33.33333333333333,-0.8360773270654764,0.9429280632686103
2025-09,6,66.66666666666666,9.419345387484999,3.115872383675466
2025-10,18,38.88888888888889,-2.370716504719858,0.9124050822361647
2025-11,18,22.22222222222222,-18.30120563941694,0.4278814421517162
2025-12,11,18.181818181818183,-11.309118724604707,0.38060472854674887
2026-01,12,33.33333333333333,-4.955076099315046,0.7370752677004078
